family,feature_set,display_name,accuracy,macro_f1,weighted_f1,feature_dim,train_rows,test_rows
Semantic,sbert_gt,Semantic GT,0.7245,0.709353028083902,0.709353028083902,256,1200,12000
Semantic,sbert_pseudo,Semantic Pseudo,0.7093333333333334,0.6940539619686011,0.6940539619686011,256,1200,12000
Acoustic,wavlm_256,WavLM,0.83225,0.8212737100910754,0.8212737100910754,256,1200,12000
Acoustic,mfa_conformer_256,MFA,0.6504166666666666,0.6507503586665243,0.6507503586665243,256,1200,12000
Acoustic,wavlm_mfa,WavLM+MFA,0.8194166666666667,0.8074611595070789,0.8074611595070789,512,1200,12000
+MFA,sbert_gt_mfa,GT+MFA,0.7758333333333334,0.7661920957320029,0.7661920957320029,512,1200,12000
+MFA,sbert_pseudo_mfa,Pseudo+MFA,0.7736666666666666,0.763421872905316,0.763421872905316,512,1200,12000
+WavLM,sbert_gt_wavlm,GT+WavLM,0.83275,0.8200237536832168,0.8200237536832168,512,1200,12000
+WavLM,sbert_pseudo_wavlm,Pseudo+WavLM,0.832,0.8186286242725296,0.8186286242725297,512,1200,12000
Full Fusion,sbert_gt_wavlm_mfa,GT Full Fusion,0.83625,0.8227471750426201,0.8227471750426201,768,1200,12000
Full Fusion,sbert_pseudo_wavlm_mfa,Pseudo Full Fusion,0.8351666666666666,0.8223040040086684,0.8223040040086684,768,1200,12000
